BBName1,City,State,Qty1,Value,Products,Brand,Supplier,Employee,Category
AMRI Hospital Blood Bank,Khurda,Odhisa,400,69200,450 T SAGM,Mipl,SARASWATI ENTERPRISERS,vikram.barik@mipl.in,OTHERS
AMRI Hospital Ltd Blood Banks,Kolkata,West Bengal,200,34600,350 T SAGM ,TerumoPenpal,A.M.,tapas.dey@mipl.in,OTHERS
AMRI Hospital Ltd Blood Banks,Kolkata,West Bengal,200,28000,350 D SAGM,TerumoPenpal,A. M.,tapas.dey@mipl.in,OTHERS
ANHA Charitable Blood Bank,Prayagraj,Uttar Pradesh,700,98000,350 D SAGM,Polymed,Vikas India,digember.singh@mipl.in,OTHERS
ANHA Charitable Blood Bank,Prayagraj,Uttar Pradesh,700,121100,350 T SAGM ,Polymed,Vikas India,digember.singh@mipl.in,OTHERS
AS Raja Voluntary Blood Bank,Visakhapatnam,Andhra Pradesh,80,48000,500 LSF RBC,Mipl,SUNEEL PHARMA & DIAGNOSTICS,sinderaviteja@mipl.in,ILF&LSF
AS Raja Voluntary Blood Bank,Visakhapatnam,Andhra Pradesh,40,6920,450 T SAGM,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
AS Raja Voluntary Blood Bank,Visakhapatnam,Andhra Pradesh,50,7000,350 D SAGM,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
AS Raja Voluntary Blood Bank,Visakhapatnam,Andhra Pradesh,100,26800,450 Q SAGM TAB PDS NPD,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
ASHAJYOTHI VOLUNTARY BLOOD CENTRE,Shivamooga ,Karnataka,480,83040,450 T SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
ASHAJYOTHI VOLUNTARY BLOOD CENTRE,Shivamooga ,Karnataka,70,3780,350 SB CPDA,HLL,Others,mohammed.asif@mipl.in,OTHERS
ASHAJYOTHI VOLUNTARY BLOOD CENTRE,Shivamooga ,Karnataka,525,73500,450 D SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
ASTER MIMS,Kannur,Kerala,50,2700,350 SB CPDA,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
ASTER MIMS,Kannur,Kerala,150,15675,450 D CPDA,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
ASTER MIMS,Kannur,Kerala,200,34600,450 T SAGM,TerumoPenpal,meridian biomedical engineering company,nahas.jamal@mipl.in,OTHERS
AVS Blood Centre,Hyderabad,Telangana,40,6920,450 T SAGM,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
AVS Blood Centre,Hyderabad,Telangana,120,12540,450 D CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Aapadbandhu Blood Center,Vinukonda,Andhra Pradesh,20,1080,350 SB CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Aapadbandhu Blood Center,Vinukonda,Andhra Pradesh,40,5600,450 D SAGM,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Aapadbandhu Blood Center,Vinukonda,Andhra Pradesh,120,12540,450 D CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aarogya Voluntary Blood Centre, Hyderabad",Hyderabad,Telangana,30,5190,450 T SAGM,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aarogya Voluntary Blood Centre, Hyderabad",Hyderabad,Telangana,50,2700,350 SB CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aarogya Voluntary Blood Centre, Hyderabad",Hyderabad,Telangana,120,12540,450 D CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Aarohi Blood Bank,Hyderabad,Telangana,100,5400,350 SB CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Aarohi Blood Bank,Hyderabad,Telangana,300,31350,450 D CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Aarushi Blood Centre,Nagarkurnool,Telangana,30,1620,350 SB CPDA,Polymed,Others,sinderaviteja@mipl.in,OTHERS
Aarushi Blood Centre,Nagarkurnool,Telangana,120,16800,450 D SAGM,Polymed,Others,sinderaviteja@mipl.in,OTHERS
Aatma blood bank,Chennai,Tamil Nadu,200,38400,TBB 450 ml with PDS NSS,TerumoPenpal,SR pharma,sudhir.kumar@mipl.in,OTHERS
Aatma blood bank,Chennai,Tamil Nadu,300,42000,350 D SAGM,TerumoPenpal,SR pharma,sudhir.kumar@mipl.in,OTHERS
Aatma blood bank,Chennai,Tamil Nadu,100,26800,450 Q SAGM TAB PDS NPD,TerumoPenpal,SR Pharma,sudhir.kumar@mipl.in,OTHERS
"Aayush Blood Centre, Hyderabad",Hyderabad,Telangana,50,8650,450 T SAGM,Polymed,medibionics,sinderaviteja@mipl.in,OTHERS
"Aayush Blood Centre, Hyderabad",Hyderabad,Telangana,180,25200,450 D SAGM,Polymed,medibionics,sinderaviteja@mipl.in,OTHERS
"Aayush Blood Centre, Nizamabad",Nizamabad,Telangana,50,2700,450 SB CPDA,Polymed,Others,sinderaviteja@mipl.in,OTHERS
"Aayush Blood Centre, Nizamabad",Nizamabad,Telangana,150,21000,450 D SAGM,Polymed,Others,sinderaviteja@mipl.in,OTHERS
Aayush Hospital Blood Bank,Vijayawada,Andhra Pradesh,40,5600,450 D SAGM,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
Aayush Hospital Blood Bank,Vijayawada,Andhra Pradesh,5,3000,500 LSF RBC,TerumoPenpal,Others,sinderaviteja@mipl.in,ILF&LSF
Aayush Hospital Blood Bank,Vijayawada,Andhra Pradesh,40,6920,450 T SAGM,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
Aayushmaan Blood Centre,Medak,Telangana,20,1080,350 SB CPDA,HLL,Others,sinderaviteja@mipl.in,OTHERS
Aayushmaan Blood Centre,Medak,Telangana,50,5225,450 D CPDA,HLL,Others,sinderaviteja@mipl.in,OTHERS
Aayushmaan Blood Centre,Medak,Telangana,50,7000,450 D SAGM,HLL,Others,sinderaviteja@mipl.in,OTHERS
Abdur Razzaque Memorial Weavers Hospital ARAM Blood Bank,Ranchi,Jharkhand,500,78875,350 T CPDA,Mipl,PRIDE HEALTHCARE SERVICES,vikram.barik@mipl.in,OTHERS
Abhar Charitable Blood Bank,Hapur,Uttar Pradesh,100,17300,450 T SAGM,Mipl,S R DIAGNOSTICS,jitum.kumar@mipl.in,OTHERS
Abhar Charitable Blood Bank,Hapur,Uttar Pradesh,100,14000,450 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
Abhar Charitable Blood Bank,Hapur,Uttar Pradesh,200,28000,450 D SAGM,Mipl,S R DIAGNOSTICS,jitum.kumar@mipl.in,OTHERS
"Abhaya Blood Centre, Hyderabad",Hyderabad,Telangana,120,12540,450 D CPDA,Mipl,SAI SRINIVASA MEDICALS,sinderaviteja@mipl.in,OTHERS
Abohar Civil Hospital Blood Bank,Fazilka,Punjab,300,16200,350 SB CPDA,Mipl,,mangalesh.thakur@mipl.in,OTHERS
Accord hospital ,Faridabad ,Haryana,200,34600,450 T SAGM,Mipl,,akram@mipl.in,OTHERS
Accord hospital ,Faridabad ,Haryana,400,56000,450 D SAGM,Mipl,,akram@mipl.in,OTHERS
Acharya Anandrushiji Blood Bank,Pune,Maharashtra,100,10450,350 D CPDA,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Acharya Anandrushiji Blood Bank,Pune,Maharashtra,150,25950,350 T SAGM ,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Acharya Anandrushiji Blood Bank,Pune,Maharashtra,250,35000,350 D SAGM,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu,Jammu & Kashmir,100,17300,450 T SAGM,Mipl,,muneer.ahmed@mipl.in,OTHERS
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu,Jammu & Kashmir,100,10450,450 D CPDA,Mipl,,muneer.ahmed@mipl.in,OTHERS
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu,Jammu & Kashmir,100,15775,450 T CPDA,Mipl,Direct,muneer.ahmed@mipl.in,OTHERS
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu,Jammu & Kashmir,100,10450,450 D CPDA,Mipl,Direct,muneer.ahmed@mipl.in,OTHERS
Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank,Jammu,Jammu & Kashmir,100,5400,450 SB CPDA,Mipl,Direct,muneer.ahmed@mipl.in,OTHERS
Achintya Charitable blood bank,Etawah,Uttar Pradesh,100,17300,350 T SAGM ,Polymed,NA,jitum.kumar@mipl.in,OTHERS
Achintya Charitable blood bank,Etawah,Uttar Pradesh,150,21000,450 D SAGM,Polymed,NA,jitum.kumar@mipl.in,OTHERS
Adarsh Blood Bank,Sangli,Maharashtra,50,8650,350 T SAGM ,Polymed,ACME Healthcare,sameer.balwant@mipl.in,OTHERS
Adarsh Blood Bank,Sangli,Maharashtra,50,2700,350 SB CPDA,Polymed,ACME Healthcare,sameer.balwant@mipl.in,OTHERS
Adarsh Blood Bank,Sangli,Maharashtra,100,14000,450 D SAGM,Polymed,ACME Healthcare,sameer.balwant@mipl.in,OTHERS
Adarsh Blood Bank,Sangli,Maharashtra,100,14000,350 D SAGM,Polymed,ACME Healthcare,sameer.balwant@mipl.in,OTHERS
Adesh Blood Bank,Kurukshetra,Haryana,40,6920,450 T SAGM,TerumoPenpal,SUN BIO DIAGNOSTIC,mangalesh.thakur@mipl.in,OTHERS
Adesh Blood Bank,Kurukshetra,Haryana,200,28000,450 D SAGM,TerumoPenpal,SUN BIO DIAGNOSTIC,mangalesh.thakur@mipl.in,OTHERS
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,20,16000,350 Q SAGM ILF TAT (TIB),Polymed,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,ILF&LSF
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,100,17300,450 T SAGM,Mipl,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,50,2700,350 SB CPDA,Mipl,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,200,28000,450 D SAGM,Mipl,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,20,18000,450 Q SAGM TAB ILF,Polymed,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,ILF&LSF
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,80,13840,450 T SAGM,Mipl,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adesh Institute of Medical Sciences and Research Blood Bank,Bathinda,Punjab,220,30800,450 D SAGM,Mipl,SURAJ MEDICAL AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adhlakha Medical Center Blood Bank,Amritsar,Punjab,50,7000,350 D SAGM,Mipl,RX Technology Chandigarh,mangalesh.thakur@mipl.in,OTHERS
Adhlakha Medical Center Blood Bank,Amritsar,Punjab,200,53600,450 Q SAGM TAB PDS NPD,TerumoPenpal,RX Technology chandigarh,mangalesh.thakur@mipl.in,OTHERS
Adhlakha Medical Center Blood Bank,Amritsar,Punjab,300,42000,450 D SAGM,TerumoPenpal,H.M. AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adhlakha Medical Center Blood Bank,Amritsar,Punjab,300,80400,450 Q SAGM TAB PDS NPD,TerumoPenpal,H.M. AGENCIES,mangalesh.thakur@mipl.in,OTHERS
Adichunchanagiri Hospital and Research Centre Blood Bank,Nagamangala,Karnataka,141,24393,450 T SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
Adichunchanagiri Hospital and Research Centre Blood Bank,Nagamangala,Karnataka,193,27020,450 D SAGM,HLL,Others,mohammed.asif@mipl.in,OTHERS
Aditya Birla Memorial Hospital Blood Bank,Pune,Maharashtra,150,34500,450 Q SAGM,TerumoPenpal,Terumo PP,sameer.balwant@mipl.in,OTHERS
Aditya Birla Memorial Hospital Blood Bank,Pune,Maharashtra,350,80500,350 Q SAGM,TerumoPenpal,Terumo PP,sameer.balwant@mipl.in,OTHERS
Aditya Diagnostic Hospital Blood Bank,Dibrugargh,Assam,450,24300,350 SB CPDA,Polymed,Others,tapas.dey@mipl.in,OTHERS
"Aditya Hospital Blood Bank, Uppal",Hyderabad,Telangana,5,3000,500 LSF RBC,HLL,GURU KRUPA,sinderaviteja@mipl.in,ILF&LSF
"Aditya Hospital Blood Bank, Uppal",Hyderabad,Telangana,60,6270,450 D CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aditya Hospital Blood Bank, Uppal",Hyderabad,Telangana,80,13840,450 T SAGM,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aditya Hospital Blood Bank,Abids",Hyderabad,Telangana,10,540,350 SB CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aditya Hospital Blood Bank,Abids",Hyderabad,Telangana,60,6270,450 D CPDA,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
"Aditya Hospital Blood Bank,Abids",Hyderabad,Telangana,80,13840,450 T SAGM,HLL,GURU KRUPA,sinderaviteja@mipl.in,OTHERS
Advanced Centre for Treatment Reasearch and Education in Cancer,Navi Mumbai,Maharashtra,100,26500,450 Q SAGM PDS NPD,Mipl,MDACS,sameer.balwant@mipl.in,OTHERS
Advanced Centre for Treatment Reasearch and Education in Cancer,Navi Mumbai,Maharashtra,200,53000,450 Q CPDA PDS NPD,Mipl,MDACS,sameer.balwant@mipl.in,OTHERS
Advanced Centre for Treatment Reasearch and Education in Cancer,Navi Mumbai,Maharashtra,200,180000,450 Q SAGM TAB ILF,TerumoPenpal,NP Agency,sameer.balwant@mipl.in,ILF&LSF
Advanced Centre for Treatment Reasearch and Education in Cancer,Navi Mumbai,Maharashtra,200,160000,450 Q SAGM ILF TAT (TIB),TerumoPenpal,NP Agency,sameer.balwant@mipl.in,ILF&LSF
Advanced Centre for Treatment Reasearch and Education in Cancer,Navi Mumbai,Maharashtra,150,25950,350 T SAGM ,TerumoPenpal,NP Agency,sameer.balwant@mipl.in,OTHERS
Advanced Centre for Treatment Reasearch and Education in Cancer,Navi Mumbai,Maharashtra,150,21000,350 D SAGM,TerumoPenpal,NP Agency,sameer.balwant@mipl.in,OTHERS
Agartala Govt Medical College GBP Hospital Blood Bank,West Tripura,Tripura,250,26125,350 D CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Agartala Govt Medical College GBP Hospital Blood Bank,West Tripura,Tripura,400,21600,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Agra Charitable Blood Bank,Agra,Uttar Pradesh,200,28000,450 D SAGM,TerumoPenpal,ADHAYANT PHARMA,jitum.kumar@mipl.in,OTHERS
Agra Charitable Blood Bank,Agra,Uttar Pradesh,300,42000,450 D SAGM,Mipl,HEARTBEAT HEALTHCARE,jitum.kumar@mipl.in,OTHERS
Agra Charitable Blood Bank,Agra,Uttar Pradesh,80,13840,450 T SAGM,Mipl,HEARTBEAT HEALTHCARE,jitum.kumar@mipl.in,OTHERS
Agra Charitable Blood Bank,Agra,Uttar Pradesh,200,28000,450 D SAGM,Mipl,HEARTBEAT HEALTHCARE,jitum.kumar@mipl.in,OTHERS
Agra City Blood Bank,Agra,Uttar Pradesh,100,5400,350 SB CPDA,Polymed,ADHAYANT PHARMA,jitum.kumar@mipl.in,OTHERS
Agrawal Blood Bank,Balaghat,Madhya Pradesh,400,21600,350 SB CPDA,Mipl,UK DIGNOCHEM,nagendra.singh@mipl.in,OTHERS
Ahalia International Foundation Blood Bank,Thrissur,Kerala,50,2700,350 SB CPDA,TerumoPenpal,Kochin Inlab Equipments India Pvt Limited,nahas.jamal@mipl.in,OTHERS
Ahalia International Foundation Blood Bank,Thrissur,Kerala,150,21000,450 D SAGM,TerumoPenpal,Kochin Inlab Equipments India Pvt Limited,nahas.jamal@mipl.in,OTHERS
Aharya Harihar Red Cross Blood Bank,Puri,Odhisa,500,27000,350 SB CPDA,Mipl,SAYONI,vikram.barik@mipl.in,OTHERS
Ahmednagar Municipal Council Blood Bank,Ahmednagar,Maharashtra,50,8650,450 T SAGM,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Ahmednagar Municipal Council Blood Bank,Ahmednagar,Maharashtra,50,8650,350 T SAGM ,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Ahmednagar Municipal Council Blood Bank,Ahmednagar,Maharashtra,100,14000,450 D SAGM,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Ahmednagar Municipal Council Blood Bank,Ahmednagar,Maharashtra,100,14000,350 D SAGM,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Aiims Raibareli,Raebareli,Uttar Pradesh,150,37200,450 Q SAGM BC,Mipl,ANANYA ENTERPRISES,digember.singh@mipl.in,OTHERS
Aiims Raibareli,Raebareli,Uttar Pradesh,150,29700,350 T SAGM TAB PDS NPD,Mipl,ANANYA ENTERPRISES,digember.singh@mipl.in,OTHERS
Air Force Blood Bank,Jalpaiguri,West Bengal,50,2700,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Air Force Hospital,Kanpur,Uttar pradesh,40,6920,350 T SAGM ,Mipl,ANANYA ENTERPRISES,digember.singh@mipl.in,OTHERS
Air Force Hospital,Kanpur,Uttar pradesh,60,6270,350 D CPDA,Mipl,ANANYA ENTERPRISES,digember.singh@mipl.in,OTHERS
Air Force Hospital Blood Bank,Jorhat,Assam,30,1620,350 SB CPDA,Polymed,Others,tapas.dey@mipl.in,OTHERS
Air Force Hospital Blood Bank,Jalpaiguri,West Bengal,50,2700,350 SB CPDA,Mipl,Others,tapas.dey@mipl.in,OTHERS
Ajnala Civil Hospital Blood bank,Amritsar,Punjab,150,15675,350 D CPDA,Mipl,Sangam Medical Store Patiala,mangalesh.thakur@mipl.in,OTHERS
Ajnala Civil Hospital Blood bank,Amritsar,Punjab,200,10800,350 SB CPDA,Mipl,Sangam Medical Store Patiala,mangalesh.thakur@mipl.in,OTHERS
Akola Diagnostic Centre Blood Bank and Component Lab,Akola,Maharashtra,50,8650,450 T SAGM,TerumoPenpal,Saral Daignostics,sameer.balwant@mipl.in,OTHERS
Akola Diagnostic Centre Blood Bank and Component Lab,Akola,Maharashtra,50,8650,350 T SAGM ,TerumoPenpal,Saral Daignostics,sameer.balwant@mipl.in,OTHERS
Akola Diagnostic Centre Blood Bank and Component Lab,Akola,Maharashtra,100,14000,450 D SAGM,TerumoPenpal,Saral Daignostics,sameer.balwant@mipl.in,OTHERS
Akola Diagnostic Centre Blood Bank and Component Lab,Akola,Maharashtra,100,14000,350 D SAGM,TerumoPenpal,Saral Daignostics,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Satara,Maharashtra,100,5400,350 SB CPDA,Polymed,,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Satara,Maharashtra,100,17300,450 T SAGM,Polymed,,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Satara,Maharashtra,200,28000,450 D SAGM,Polymed,Deepak Pharma,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Miraj,Maharashtra,100,17300,450 T SAGM,Polymed,Deepak Pharma,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Miraj,Maharashtra,100,14000,350 D SAGM,Polymed,Deepak Pharma,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Miraj,Maharashtra,150,21000,450 D SAGM,Polymed,Deepak Pharma,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Solapur,Maharashtra,100,26400,350 Q SAGM PDS NPD,Promea,MSACS,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Solapur,Maharashtra,150,31200,350 T SAGM PDS NPD,Polymed,MSACS,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Solapur,Maharashtra,150,21000,450 D SAGM,Polymed,ACME Healthcare,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Solapur,Maharashtra,200,28000,350 D SAGM,Polymed,ACME Healthcare,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Pune,Maharashtra,200,28000,450 D SAGM,Polymed,Deepak Pharma,sameer.balwant@mipl.in,OTHERS
Akshay Blood Bank,Pune,Maharashtra,400,56000,350 D SAGM,Polymed,Deepak Pharma,sameer.balwant@mipl.in,OTHERS
Akshay Voluntary Blood Bank,Bengaluru,Karnataka,140,24220,450 T SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
Akshay Voluntary Blood Bank,Bengaluru,Karnataka,186,26040,450 D SAGM,Polymed,Others,mohammed.asif@mipl.in,OTHERS
"Akshaya Blood Center, Kurnool",Kurnool,Andhra Pradesh,20,1080,350 SB CPDA,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
"Akshaya Blood Center, Kurnool",Kurnool,Andhra Pradesh,20,3460,450 T SAGM,TerumoPenpal,Others,sinderaviteja@mipl.in,OTHERS
"Akshaya Blood Center, Kurnool",Kurnool,Andhra Pradesh,200,53600,450 Q SAGM TAB PDS NPD,Fresenius,Others,sinderaviteja@mipl.in,OTHERS
Akshaya Blood Centre,Kakinada ,Andhra Pradesh,10,1730,450 T SAGM,Mipl,Soma Sai Medicals,sinderaviteja@mipl.in,OTHERS
Akshaya Blood Centre,Kakinada ,Andhra Pradesh,20,1080,350 SB CPDA,Mipl,Soma Sai Medicals,sinderaviteja@mipl.in,OTHERS
Akshaya Blood Centre,Kakinada ,Andhra Pradesh,120,12540,450 D CPDA,Mipl,Soma Sai Medicals,sinderaviteja@mipl.in,OTHERS
"Akshaya Blood Centre, Hyderabad",Hyderabad,Telangana,5,3000,500 LSF RBC,HLL,Others,sinderaviteja@mipl.in,ILF&LSF
"Akshaya Blood Centre, Hyderabad",Hyderabad,Telangana,120,16800,450 D SAGM,HLL,Others,sinderaviteja@mipl.in,OTHERS
"Akshaya Blood Centre, Hyderabad",Hyderabad,Telangana,40,6920,450 T SAGM,HLL,Others,sinderaviteja@mipl.in,OTHERS
AlAmeen Medical College Hospital Blood Bank,Bijapur,Karnataka,90,14197.5,450 T CPDA,HLL,Others,mohammed.asif@mipl.in,OTHERS
AlAmeen Medical College Hospital Blood Bank,Bijapur,Karnataka,30,1620,350 SB CPDA,HLL,Others,mohammed.asif@mipl.in,OTHERS
AlAmeen Medical College Hospital Blood Bank,Bijapur,Karnataka,125,13062.5,350 D CPDA,HLL,Others,mohammed.asif@mipl.in,OTHERS
